why,interesting,linkedinExperienceTitle,linkedinSearchResultUri,linkedInProfileUri,linkedInSearchQueryString
,,"User Experience Engineer, Design",https://www.linkedin.com/in/bernicewygo/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=puj%2FNuZ1TiqIGwuJkoiT%2FQ%3D%3D,https://www.linkedin.com/in/bernicewygo/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=puj%2FNuZ1TiqIGwuJkoiT%2FQ%3D%3D
,,Staff User Experience Engineer,https://www.linkedin.com/in/matthewlevine/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=IPOJqlZRSpGEB7pBNnu8ag%3D%3D,https://www.linkedin.com/in/matthewlevine/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=IPOJqlZRSpGEB7pBNnu8ag%3D%3D
,,User Experience Engineer,https://www.linkedin.com/in/cheryl-xiaoxuan-wang/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=2X3dtijMTM6IvwCSbbVz%2Bw%3D%3D,https://www.linkedin.com/in/cheryl-xiaoxuan-wang/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=2X3dtijMTM6IvwCSbbVz%2Bw%3D%3D
,,User Experience Engineer,https://www.linkedin.com/in/prateek-bhatnagar-2075a224/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=O1xkEHxoR1Ci6sLc0qVGlQ%3D%3D,https://www.linkedin.com/in/prateek-bhatnagar-2075a224/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=O1xkEHxoR1Ci6sLc0qVGlQ%3D%3D
,,User Experience Engineer,https://www.linkedin.com/in/seangrogg/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2B3KhBfryQUyoeod1Yi0jkg%3D%3D,https://www.linkedin.com/in/seangrogg/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2B3KhBfryQUyoeod1Yi0jkg%3D%3D
,,UX Engineer,https://www.linkedin.com/in/antin-harasymiv-06a9073/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=y9XO%2F8hVQdqnSL5punFL4g%3D%3D,https://www.linkedin.com/in/antin-harasymiv-06a9073/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=y9XO%2F8hVQdqnSL5punFL4g%3D%3D
,,UX Engineer,https://www.linkedin.com/in/shinyeonpark/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=yCs%2FRCfxSGuV2LL6lgTDaw%3D%3D,https://www.linkedin.com/in/shinyeonpark/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=yCs%2FRCfxSGuV2LL6lgTDaw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/asward/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ax7GIedyRVmL82W1y1W2xw%3D%3D,https://www.linkedin.com/in/asward/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ax7GIedyRVmL82W1y1W2xw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/jeffpierce/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=m2ladD%2B6TyCF%2F8cInx0uow%3D%3D,https://www.linkedin.com/in/jeffpierce/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=m2ladD%2B6TyCF%2F8cInx0uow%3D%3D
,,UX Engineer,https://www.linkedin.com/in/summermcdonald/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=KTHE1EORQ3CLGNeK4lOwYg%3D%3D,https://www.linkedin.com/in/summermcdonald/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=KTHE1EORQ3CLGNeK4lOwYg%3D%3D
